strategy,case_id,repo,change_type,gt_invalidated,pred_invalidated,tp,fp,fn,global_after,oracle_result,gfc
freshness,C5_add_new_rule,cerberus,POTENTIALLY_BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
freshness,B1_sentinel_internal,boltons,NON_SEMANTIC,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
freshness,B2_sentinel_required,boltons,BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
freshness,B3_sentinel_optional,boltons,COMPATIBLE,,agent_b_completion|testing_completion,0,2,0,VERIFIED,PASS,0
freshness,B4_rename_isiterable,boltons,BREAKING,agent_b_completion,agent_b_completion,1,0,0,FAILED,FAIL,0
freshness,B5_remove_chunked,boltons,BREAKING,agent_b_completion,agent_b_completion,1,0,0,FAILED,FAIL,0
change_aware,T1_impl_internal,tinydb,POTENTIALLY_BREAKING,,testing_completion,0,1,0,VERIFIED,PASS,0
change_aware,T2_all_breaks,tinydb,POTENTIALLY_BREAKING,,testing_completion,0,1,0,VERIFIED,FAIL,1
change_aware,T3_insert_sig,tinydb,BREAKING,,testing_completion,0,1,0,VERIFIED,FAIL,1
change_aware,T4_version_cfg,tinydb,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
change_aware,T5_add_method,tinydb,COMPATIBLE,,,0,0,0,VERIFIED,PASS,0
change_aware,T6_doc_required_attr,tinydb,BREAKING,testing_completion,testing_completion,1,0,0,FAILED,FAIL,0
change_aware,C1_utils_internal,cerberus,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
change_aware,C2_validate_sig,cerberus,COMPATIBLE,,,0,0,0,VERIFIED,PASS,0
change_aware,C3_remove_allowed,cerberus,POTENTIALLY_BREAKING,testing_completion,agent_b_completion|testing_completion,1,1,0,FAILED,FAIL,0
change_aware,C4_platform_const,cerberus,POTENTIALLY_BREAKING,,,0,0,0,VERIFIED,PASS,0
change_aware,C5_add_new_rule,cerberus,POTENTIALLY_BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
change_aware,B1_sentinel_internal,boltons,NON_SEMANTIC,,,0,0,0,VERIFIED,PASS,0
change_aware,B2_sentinel_required,boltons,BREAKING,agent_b_completion|testing_completion,agent_b_completion|testing_completion,2,0,0,FAILED,FAIL,0
change_aware,B3_sentinel_optional,boltons,COMPATIBLE,,,0,0,0,VERIFIED,PASS,0
change_aware,B4_rename_isiterable,boltons,BREAKING,agent_b_completion,agent_b_completion,1,0,0,FAILED,FAIL,0
change_aware,B5_remove_chunked,boltons,BREAKING,agent_b_completion,agent_b_completion,1,0,0,FAILED,FAIL,0
