variant,repo,seed,ratio,case_id,recall3,fix,accept,regfail
no_trace,tinydb,42,0.2,T3_insert_sig,1.0,1,1,0.1667
no_cf_gate,tinydb,42,0.2,T3_insert_sig,1.0,1,1,0.0
full,tinydb,42,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_static,tinydb,42,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_dynamic,tinydb,42,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_semantic,tinydb,42,0.2,T6_doc_required_attr,1.0,0,0,1.0
no_trace,tinydb,42,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_cf_gate,tinydb,42,0.2,T6_doc_required_attr,1.0,1,1,0.0
full,tinydb,43,0.2,T2_all_breaks,1.0,1,0,0.3333
no_static,tinydb,43,0.2,T2_all_breaks,1.0,1,0,0.3333
no_dynamic,tinydb,43,0.2,T2_all_breaks,1.0,1,0,0.3333
no_semantic,tinydb,43,0.2,T2_all_breaks,1.0,0,0,1.0
no_trace,tinydb,43,0.2,T2_all_breaks,1.0,1,0,0.3333
no_cf_gate,tinydb,43,0.2,T2_all_breaks,1.0,1,1,0.0
full,tinydb,43,0.2,T3_insert_sig,1.0,1,1,0.1667
no_static,tinydb,43,0.2,T3_insert_sig,1.0,1,1,0.1667
no_dynamic,tinydb,43,0.2,T3_insert_sig,1.0,1,1,0.1667
no_semantic,tinydb,43,0.2,T3_insert_sig,1.0,0,0,1.0
no_trace,tinydb,43,0.2,T3_insert_sig,1.0,1,1,0.1667
no_cf_gate,tinydb,43,0.2,T3_insert_sig,1.0,1,1,0.0
full,tinydb,43,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_static,tinydb,43,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_dynamic,tinydb,43,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_semantic,tinydb,43,0.2,T6_doc_required_attr,1.0,0,0,1.0
no_trace,tinydb,43,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_cf_gate,tinydb,43,0.2,T6_doc_required_attr,1.0,1,1,0.0
full,tinydb,44,0.2,T2_all_breaks,1.0,1,0,0.3333
no_static,tinydb,44,0.2,T2_all_breaks,1.0,1,0,0.3333
no_dynamic,tinydb,44,0.2,T2_all_breaks,1.0,1,0,0.3333
no_semantic,tinydb,44,0.2,T2_all_breaks,1.0,0,0,1.0
no_trace,tinydb,44,0.2,T2_all_breaks,1.0,1,0,0.3333
no_cf_gate,tinydb,44,0.2,T2_all_breaks,1.0,1,1,0.0
full,tinydb,44,0.2,T3_insert_sig,1.0,1,1,0.1667
no_static,tinydb,44,0.2,T3_insert_sig,1.0,1,1,0.1667
no_dynamic,tinydb,44,0.2,T3_insert_sig,1.0,1,1,0.1667
no_semantic,tinydb,44,0.2,T3_insert_sig,1.0,0,0,1.0
no_trace,tinydb,44,0.2,T3_insert_sig,1.0,1,1,0.1667
no_cf_gate,tinydb,44,0.2,T3_insert_sig,1.0,1,1,0.0
full,tinydb,44,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_static,tinydb,44,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_dynamic,tinydb,44,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_semantic,tinydb,44,0.2,T6_doc_required_attr,1.0,0,0,1.0
no_trace,tinydb,44,0.2,T6_doc_required_attr,1.0,1,1,0.1667
no_cf_gate,tinydb,44,0.2,T6_doc_required_attr,1.0,1,1,0.0
full,tinydb,42,0.3,T2_all_breaks,1.0,1,0,0.3333
no_static,tinydb,42,0.3,T2_all_breaks,1.0,1,0,0.3333
no_dynamic,tinydb,42,0.3,T2_all_breaks,1.0,1,0,0.3333
no_semantic,tinydb,42,0.3,T2_all_breaks,1.0,0,0,1.0
no_trace,tinydb,42,0.3,T2_all_breaks,1.0,1,0,0.3333
no_cf_gate,tinydb,42,0.3,T2_all_breaks,1.0,1,1,0.0
full,tinydb,42,0.3,T3_insert_sig,1.0,1,1,0.1667
no_static,tinydb,42,0.3,T3_insert_sig,1.0,1,1,0.1667
no_dynamic,tinydb,42,0.3,T3_insert_sig,1.0,1,1,0.1667
no_semantic,tinydb,42,0.3,T3_insert_sig,1.0,0,0,1.0
no_trace,tinydb,42,0.3,T3_insert_sig,1.0,1,1,0.1667
no_cf_gate,tinydb,42,0.3,T3_insert_sig,1.0,1,1,0.0
full,tinydb,42,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_static,tinydb,42,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_dynamic,tinydb,42,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_semantic,tinydb,42,0.3,T6_doc_required_attr,1.0,0,0,1.0
no_trace,tinydb,42,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_cf_gate,tinydb,42,0.3,T6_doc_required_attr,1.0,1,1,0.0
full,tinydb,43,0.3,T2_all_breaks,1.0,1,0,0.3333
no_static,tinydb,43,0.3,T2_all_breaks,1.0,1,0,0.3333
no_dynamic,tinydb,43,0.3,T2_all_breaks,1.0,1,0,0.3333
no_semantic,tinydb,43,0.3,T2_all_breaks,1.0,0,0,1.0
no_trace,tinydb,43,0.3,T2_all_breaks,1.0,1,0,0.3333
no_cf_gate,tinydb,43,0.3,T2_all_breaks,1.0,1,1,0.0
full,tinydb,43,0.3,T3_insert_sig,1.0,1,1,0.1667
no_static,tinydb,43,0.3,T3_insert_sig,1.0,1,1,0.1667
no_dynamic,tinydb,43,0.3,T3_insert_sig,1.0,1,1,0.1667
no_semantic,tinydb,43,0.3,T3_insert_sig,1.0,0,0,1.0
no_trace,tinydb,43,0.3,T3_insert_sig,1.0,1,1,0.1667
no_cf_gate,tinydb,43,0.3,T3_insert_sig,1.0,1,1,0.0
full,tinydb,43,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_static,tinydb,43,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_dynamic,tinydb,43,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_semantic,tinydb,43,0.3,T6_doc_required_attr,1.0,0,0,1.0
no_trace,tinydb,43,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_cf_gate,tinydb,43,0.3,T6_doc_required_attr,1.0,1,1,0.0
full,tinydb,44,0.3,T2_all_breaks,1.0,1,0,0.3333
no_static,tinydb,44,0.3,T2_all_breaks,1.0,1,0,0.3333
no_dynamic,tinydb,44,0.3,T2_all_breaks,1.0,1,0,0.3333
no_semantic,tinydb,44,0.3,T2_all_breaks,1.0,0,0,1.0
no_trace,tinydb,44,0.3,T2_all_breaks,1.0,1,0,0.3333
no_cf_gate,tinydb,44,0.3,T2_all_breaks,1.0,1,1,0.0
full,tinydb,44,0.3,T3_insert_sig,1.0,1,1,0.1667
no_static,tinydb,44,0.3,T3_insert_sig,1.0,1,1,0.1667
no_dynamic,tinydb,44,0.3,T3_insert_sig,1.0,1,1,0.1667
no_semantic,tinydb,44,0.3,T3_insert_sig,1.0,0,0,1.0
no_trace,tinydb,44,0.3,T3_insert_sig,1.0,1,1,0.1667
no_cf_gate,tinydb,44,0.3,T3_insert_sig,1.0,1,1,0.0
full,tinydb,44,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_static,tinydb,44,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_dynamic,tinydb,44,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_semantic,tinydb,44,0.3,T6_doc_required_attr,1.0,0,0,1.0
no_trace,tinydb,44,0.3,T6_doc_required_attr,1.0,1,1,0.1667
no_cf_gate,tinydb,44,0.3,T6_doc_required_attr,1.0,1,1,0.0
full,cerberus,43,0.1,C3_remove_allowed,1.0,1,1,0.0
no_static,cerberus,43,0.1,C3_remove_allowed,1.0,1,1,0.0
no_dynamic,cerberus,43,0.1,C3_remove_allowed,1.0,1,1,0.0
no_semantic,cerberus,43,0.1,C3_remove_allowed,1.0,1,1,0.0
no_trace,cerberus,43,0.1,C3_remove_allowed,1.0,1,1,0.0
no_cf_gate,cerberus,43,0.1,C3_remove_allowed,1.0,1,1,0.0
full,cerberus,44,0.1,C3_remove_allowed,1.0,1,1,0.0
no_static,cerberus,44,0.1,C3_remove_allowed,1.0,1,1,0.0
no_dynamic,cerberus,44,0.1,C3_remove_allowed,1.0,1,1,0.0
no_semantic,cerberus,44,0.1,C3_remove_allowed,1.0,1,1,0.0
no_trace,cerberus,44,0.1,C3_remove_allowed,1.0,1,1,0.0
no_cf_gate,cerberus,44,0.1,C3_remove_allowed,1.0,1,1,0.0
full,cerberus,43,0.2,C3_remove_allowed,1.0,1,1,0.0
no_static,cerberus,43,0.2,C3_remove_allowed,1.0,1,1,0.0
no_dynamic,cerberus,43,0.2,C3_remove_allowed,1.0,1,1,0.0
no_semantic,cerberus,43,0.2,C3_remove_allowed,1.0,1,1,0.0
no_trace,cerberus,43,0.2,C3_remove_allowed,1.0,1,1,0.0
no_cf_gate,cerberus,43,0.2,C3_remove_allowed,1.0,1,1,0.0
full,cerberus,44,0.2,C3_remove_allowed,1.0,1,1,0.0
no_static,cerberus,44,0.2,C3_remove_allowed,1.0,1,1,0.0
no_dynamic,cerberus,44,0.2,C3_remove_allowed,1.0,1,1,0.0
no_semantic,cerberus,44,0.2,C3_remove_allowed,1.0,1,1,0.0
no_trace,cerberus,44,0.2,C3_remove_allowed,1.0,1,1,0.0
no_cf_gate,cerberus,44,0.2,C3_remove_allowed,1.0,1,1,0.0
full,cerberus,43,0.3,C3_remove_allowed,1.0,1,1,0.0
no_static,cerberus,43,0.3,C3_remove_allowed,1.0,1,1,0.0
no_dynamic,cerberus,43,0.3,C3_remove_allowed,1.0,1,1,0.0
no_semantic,cerberus,43,0.3,C3_remove_allowed,1.0,1,1,0.0
no_trace,cerberus,43,0.3,C3_remove_allowed,1.0,1,1,0.0
no_cf_gate,cerberus,43,0.3,C3_remove_allowed,1.0,1,1,0.0
full,cerberus,44,0.3,C3_remove_allowed,1.0,1,1,0.0
no_static,cerberus,44,0.3,C3_remove_allowed,1.0,1,1,0.0
no_dynamic,cerberus,44,0.3,C3_remove_allowed,1.0,1,1,0.0
no_semantic,cerberus,44,0.3,C3_remove_allowed,1.0,1,1,0.0
no_trace,cerberus,44,0.3,C3_remove_allowed,1.0,1,1,0.0
no_cf_gate,cerberus,44,0.3,C3_remove_allowed,1.0,1,1,0.0
